track_id,track_name,album_name,album_id
7qiZfU4dY1lWllzX7mPBI3,Shape of You,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,4yP0hdKOZPNshxUOjY0cZj
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,0UywfDKYlyiu1b38DRrzYD
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi
1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,40GMAhriYJRO1rsY4YdrZb
7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,0rSLgV8p5FzfnqlEk4GzxE
0pqnGHJpmpxLKifKRmU6WP,Believer,Evolve,33pt9HBdGlAbRGBHQgsZsU
0TK2YIli7K1leLovkQiNik,Señorita,Señorita,2ZaX1FdZCwchXl1QZiD4O4
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
0tgVpDi06FyKpA1z0VMD4v,Perfect,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,Back from the Edge,7oiJYvEJHsmYtrgviAVIBD
2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Heat Waves,69K1zrf6TkXHdYUO8n2qVi
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Goodbye & Good Riddance,6tkjU4Umpo79wwkgPMV3nZ
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Scorpion,1ATL5GLyefJaxhQzSPVrLX
7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,2ODvWsOgouMbaA5xf0RkJe
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),lovely (with Khalid),2sBB17RXTamvj7Ncps15AK
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Fine Line,7xV2TzoaVc0ycW7fwBwAml
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd
7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,A Night At The Opera (2011 Remaster),1GbtB4zTqAsyfZEsm1RZfx
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,Memories...Do Not Open,4JPguzRps3kuWDD5GS6oXr
2VxeLyX666F8uXCJ0dZF8B,Shallow,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD
3ee8Jmje8o58CHK66QrVC2,SAD!,?,2Ti79nwTsont5ZHfdxIzAm
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr
21jGcNKet2qwijlDFuPiPb,Circles,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi
3U4isOIWM3VvDubwSI3y7a,All of Me,Love In The Future (Expanded Edition),4OTAx9un4e6NfoHuVRiOrC
1CS7Sd1u5tWkstBhpssyjP,Take Me to Church,Hozier,0Uv83rRhY5QvHKkQoULRKk
1zB4vmk8tFRmM9UULNzbLB,Thunder,Evolve,33pt9HBdGlAbRGBHQgsZsU
6ocbgoVGwYJhOv1GgI9NsF,7 rings,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,I Love You.,4xkM0BwLM9H2IUcbYzpcBI
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Birds In The Trap Sing McKnight,42WVQWuf1teDysXiOupIZt
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,17,5VdyJkLe3yvOs0l4xXbWp0
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila,2vD3zSQr8hNlg0obNel4TE
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Luv Is Rage 2,733e1ZfktLSwj96X5rsMeE
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Blurryface,3cQO7jp5S9qLBoIVtbkSM1
2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9
7BqHUALzNBTanL6OvsqmC1,Happier,Happier,78EicdHZr5XBWD7llEZ1Jh
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,DAMN.,4eLPsYPBmXABThSJ821sqY
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,41GuZcammIkupMPKH2OJ6I
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,Native,20lOt6G8MHv8ZO7ViOmiP7
1KxwZYyzWNyZSRyErj2ojT,Let Her Go,All The Little Lights,2mylGx7w2Q3yhUyN8iEWOF
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,True,1s9tU91VJt4sU5owi29GD3
3JvrhDOgAt6p7K8mDyZwRd,Riptide,Dream Your Life Away,6rIbiUMmZJfqJRnXhVxFvg
09CtPGIpYB4BrO8qb1RGsF,Sorry,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr
7fBv7CLKzipRk6EC6TWHOB,The Hills,Beauty Behind The Madness,0P3oVJBFOv3TDXlYRhGL7s
01aTsQoKoeXofSTvKuunzv,Lean On,Peace Is The Mission : Extended,2U0b5MfkMUgzdvRUI69mya
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,Encore,02sEJTj1sye1JaqxqpcSCp
0zLCBJZSiELJf02ucPP9wb,Roses - Imanbek Remix,Roses (Imanbek Remix),3GqSdhWjmMypMwPLtzoFYs
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),The Heist,76FXHQhTuT4QMIxfL09gX8
4ZtFanR9U6ndgddUvNcjcG,good 4 u,SOUR,6s84u2TUpR3wdUv4NgKA2j
7dt6x5M1jzdTEt8oCbisTK,Better Now,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Stoney (Deluxe),5s0rmjP8XOPhP6HhqOhuyC
698ItKASDavgwZ3WjaWjtz,Faded,Different World,3nzuGtN3nXARvvecier4K0
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581
3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,Illuminate,1ne2D0NxoGyZd31gAM4HNd
5wANPM4fQCJwkGd4rN57mH,drivers license,SOUR,6s84u2TUpR3wdUv4NgKA2j
5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,In The Lonely Hour,08jWgM4vSkTose4blKBWov
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,Don't Let Me Down,2SByipSK8eZ2pasaIwwzhf
5p7ujcrUXASCNwRaWNHR1C,Without Me,Without Me,0zzrCTzvL4ZmR42xF46Afm
0vbtURX4qv1l7besfwmnD8,I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",6Phl1V5P0sPrWJytXHGFeO
4Dvkj6JhhA12EX05fT7y2e,As It Was,As It Was,2pqdSWeJVsXAhHFuVLzuA8
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Uptown Special,3vLaOYCNCzngDf8QdBg2V1
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR
4cktbXiXOapiLBMprHFErI,Memories,Memories,3nR9B40hYLKLcR0Eph3Goc
